,hour,prob
0,0,0.01973465630210897
1,1,0.010699764605178613
2,2,0.007490358439498188
3,3,0.005867342801098879
4,4,0.005395925299423341
5,5,0.007736793115734746
6,6,0.018353366397088348
7,7,0.04699211042784938
8,8,0.08147569897716535
9,9,0.08591989460339455
10,10,0.05665486117251632
11,11,0.046891652980211425
12,12,0.04663893971349751
13,13,0.04741068312634043
14,14,0.04675509363732876
15,15,0.04617955617690351
16,16,0.04869727095832744
17,17,0.060372309950990376
18,18,0.07186317695631728
19,19,0.06824147668262305
20,20,0.05504387949919875
21,21,0.04799720812010106
22,22,0.03881843205806437
23,23,0.028769547999039323
