,Unnamed: 0,hour,prob,step_prob,step
0,0,0,0.01973465630210892,0.00328910938368482,0
1,0,0,0.01973465630210892,0.00328910938368482,1
2,0,0,0.01973465630210892,0.00328910938368482,2
3,0,0,0.01973465630210892,0.00328910938368482,3
4,0,0,0.01973465630210892,0.00328910938368482,4
5,0,0,0.01973465630210892,0.00328910938368482,5
6,1,1,0.010699764605178613,0.001783294100863102,6
7,1,1,0.010699764605178613,0.001783294100863102,7
8,1,1,0.010699764605178613,0.001783294100863102,8
9,1,1,0.010699764605178613,0.001783294100863102,9
10,1,1,0.010699764605178613,0.001783294100863102,10
11,1,1,0.010699764605178613,0.001783294100863102,11
12,2,2,0.007490358439498109,0.0012483930732496847,12
13,2,2,0.007490358439498109,0.0012483930732496847,13
14,2,2,0.007490358439498109,0.0012483930732496847,14
15,2,2,0.007490358439498109,0.0012483930732496847,15
16,2,2,0.007490358439498109,0.0012483930732496847,16
17,2,2,0.007490358439498109,0.0012483930732496847,17
18,3,3,0.005867342801098807,0.0009778904668498011,18
19,3,3,0.005867342801098807,0.0009778904668498011,19
20,3,3,0.005867342801098807,0.0009778904668498011,20
21,3,3,0.005867342801098807,0.0009778904668498011,21
22,3,3,0.005867342801098807,0.0009778904668498011,22
23,3,3,0.005867342801098807,0.0009778904668498011,23
24,4,4,0.005395925299423306,0.0008993208832372176,24
25,4,4,0.005395925299423306,0.0008993208832372176,25
26,4,4,0.005395925299423306,0.0008993208832372176,26
27,4,4,0.005395925299423306,0.0008993208832372176,27
28,4,4,0.005395925299423306,0.0008993208832372176,28
29,4,4,0.005395925299423306,0.0008993208832372176,29
30,5,5,0.007736793115734709,0.001289465519289118,30
31,5,5,0.007736793115734709,0.001289465519289118,31
32,5,5,0.007736793115734709,0.001289465519289118,32
33,5,5,0.007736793115734709,0.001289465519289118,33
34,5,5,0.007736793115734709,0.001289465519289118,34
35,5,5,0.007736793115734709,0.001289465519289118,35
36,6,6,0.01835336639708832,0.00305889439951472,36
37,6,6,0.01835336639708832,0.00305889439951472,37
38,6,6,0.01835336639708832,0.00305889439951472,38
39,6,6,0.01835336639708832,0.00305889439951472,39
40,6,6,0.01835336639708832,0.00305889439951472,40
41,6,6,0.01835336639708832,0.00305889439951472,41
42,7,7,0.04699211042784936,0.00783201840464156,42
43,7,7,0.04699211042784936,0.00783201840464156,43
44,7,7,0.04699211042784936,0.00783201840464156,44
45,7,7,0.04699211042784936,0.00783201840464156,45
46,7,7,0.04699211042784936,0.00783201840464156,46
47,7,7,0.04699211042784936,0.00783201840464156,47
48,8,8,0.0814756989771654,0.013579283162860901,48
49,8,8,0.0814756989771654,0.013579283162860901,49
50,8,8,0.0814756989771654,0.013579283162860901,50
51,8,8,0.0814756989771654,0.013579283162860901,51
52,8,8,0.0814756989771654,0.013579283162860901,52
53,8,8,0.0814756989771654,0.013579283162860901,53
54,9,9,0.0859198946033946,0.0143199824338991,54
55,9,9,0.0859198946033946,0.0143199824338991,55
56,9,9,0.0859198946033946,0.0143199824338991,56
57,9,9,0.0859198946033946,0.0143199824338991,57
58,9,9,0.0859198946033946,0.0143199824338991,58
59,9,9,0.0859198946033946,0.0143199824338991,59
60,10,10,0.05665486117251636,0.00944247686208606,60
61,10,10,0.05665486117251636,0.00944247686208606,61
62,10,10,0.05665486117251636,0.00944247686208606,62
63,10,10,0.05665486117251636,0.00944247686208606,63
64,10,10,0.05665486117251636,0.00944247686208606,64
65,10,10,0.05665486117251636,0.00944247686208606,65
66,11,11,0.04689165298021145,0.007815275496701909,66
67,11,11,0.04689165298021145,0.007815275496701909,67
68,11,11,0.04689165298021145,0.007815275496701909,68
69,11,11,0.04689165298021145,0.007815275496701909,69
70,11,11,0.04689165298021145,0.007815275496701909,70
71,11,11,0.04689165298021145,0.007815275496701909,71
72,12,12,0.04663893971349755,0.007773156618916258,72
73,12,12,0.04663893971349755,0.007773156618916258,73
74,12,12,0.04663893971349755,0.007773156618916258,74
75,12,12,0.04663893971349755,0.007773156618916258,75
76,12,12,0.04663893971349755,0.007773156618916258,76
77,12,12,0.04663893971349755,0.007773156618916258,77
78,13,13,0.047410683126340454,0.007901780521056742,78
79,13,13,0.047410683126340454,0.007901780521056742,79
80,13,13,0.047410683126340454,0.007901780521056742,80
81,13,13,0.047410683126340454,0.007901780521056742,81
82,13,13,0.047410683126340454,0.007901780521056742,82
83,13,13,0.047410683126340454,0.007901780521056742,83
84,14,14,0.04675509363732875,0.007792515606221458,84
85,14,14,0.04675509363732875,0.007792515606221458,85
86,14,14,0.04675509363732875,0.007792515606221458,86
87,14,14,0.04675509363732875,0.007792515606221458,87
88,14,14,0.04675509363732875,0.007792515606221458,88
89,14,14,0.04675509363732875,0.007792515606221458,89
90,15,15,0.04617955617690355,0.0076965926961505915,90
91,15,15,0.04617955617690355,0.0076965926961505915,91
92,15,15,0.04617955617690355,0.0076965926961505915,92
93,15,15,0.04617955617690355,0.0076965926961505915,93
94,15,15,0.04617955617690355,0.0076965926961505915,94
95,15,15,0.04617955617690355,0.0076965926961505915,95
96,16,16,0.04869727095832745,0.00811621182638791,96
97,16,16,0.04869727095832745,0.00811621182638791,97
98,16,16,0.04869727095832745,0.00811621182638791,98
99,16,16,0.04869727095832745,0.00811621182638791,99
100,16,16,0.04869727095832745,0.00811621182638791,100
101,16,16,0.04869727095832745,0.00811621182638791,101
102,17,17,0.06037230995099037,0.010062051658498395,102
103,17,17,0.06037230995099037,0.010062051658498395,103
104,17,17,0.06037230995099037,0.010062051658498395,104
