edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
3443,20542.0,780.0,MA5CTTPE8,10
3448,21357.0,964.0,MA5CTTPE8,10
3450,21280.0,523.0,MA5CTTPE8,10
3452,21357.0,964.0,MA5CTTPE8,10
3457,21357.0,964.0,MA5CTTPE8,10
3458,21357.0,854.0,MA5CTTPE8,10
3462,21280.0,523.0,MA5CTTPE8,10
3470,21280.0,678.0,MA5CTTPE8,10
3512,20627.0,842.0,MA59G0765,10
3515,20381.0,960.0,MA5CTTPE8,10
3517,20381.0,833.0,MA5CTTPE8,10
3519,20381.0,993.0,MA5CTTPE8,10
3520,20381.0,960.0,MA5CTTPE8,10
3521,20381.0,993.0,MA5CTTPE8,10
3528,20381.0,993.0,MA5CTTPE8,10
3576,21280.0,878.0,MA5CTTPE8,10
3665,20443.0,926.0,MA5CTTPE8,10
3666,19646.0,928.0,MA01H3BQ1,10
3667,19646.0,900.0,MA01H3BQ1,10
3674,19646.0,588.0,MA01H3BQ1,10
3675,19646.0,804.0,MA01H3BQ1,10
3676,19646.0,804.0,MA01H3BQ1,10
3691,19616.0,761.0,MA5DT8Q54,10
3696,19616.0,807.0,MA5DT8Q54,10
3697,19616.0,807.0,MA5DT8Q54,10
3698,19616.0,593.0,MA5DT8Q54,10
3699,19616.0,593.0,MA5DT8Q54,10
3707,19616.0,724.0,MA5DT8Q54,10
3709,19616.0,480.0,MA5DT8Q54,10
3710,19616.0,480.0,MA5DT8Q54,10
3712,19616.0,609.0,MA5DT8Q54,10
3713,21000.0,328.0,MA01H3BQ1,10
3714,21000.0,204.0,MA01H3BQ1,10
3719,21000.0,312.0,MA01H3BQ1,10
3720,21000.0,312.0,MA01H3BQ1,10
3721,19618.0,500.0,MA5DT8Q54,10
3722,19616.0,942.0,MA5DT8Q54,10
3723,21000.0,405.0,MA01H3BQ1,10
3726,21000.0,659.0,MA01H3BQ1,10
3727,21000.0,790.0,MA01H3BQ1,10
3730,20989.0,889.0,MA01H3BQ1,10
3732,20989.0,889.0,MA01H3BQ1,10
3734,20989.0,777.0,MA01H3BQ1,10
3753,20989.0,592.0,MA01H3BQ1,10
3755,20989.0,842.0,MA01H3BQ1,10
